0100, 212g
1001, 188


experiment,	result,		quantity,	correct,	actual_weight,	price
2,			'0',		47.285,		no,			'188',			'.01'
1,			'0100',		'200.71',	yes, 		'212',			'.02'
1,			'1001',		'155.4285',	yes, 		'188',			'.02'
1,			'10',		'275.09',	no, 		'0',			'.02'
25,			'1001',		'95.85',	yes,		'188',			'.03'
25,			'0400',		'70.85',	no,			'0',			'.03'
25,			'0410',		'272.29',	no,			'0',			'.03'
26,			'0105',		'71.85',	no,			'0',			'.04'
26,			'0402',		'57.14',	no,			'0',			'.04'
26,			'100',		'102.85',	no,			'0',			'.04'
27,			'0100',		'42',		yes,		'212',			'.05'
27,			'1001',		'122.57',	yes,		'188',			'.05'
28,			'0100',		'114.14',	yes,		'212',			'.06'
28,			'1001',		'105.14',	yes,		'188',			'.06'
29,			'0100',		'60.71',	yes,		'212',			'.07'
29,			'1001',		'154.28',	yes,		'188',			'.07'